id,SalePrice
1461,125264.51
1462,157466.25
1463,186967.75
1464,188367.64
1465,189327.83
1466,181892.19
1467,170278.86
1468,174065.47
1469,182382.78
1470,127412.23
1471,190037.42
1472,96606.85
1473,97380.63
1474,151444.86
1475,132471.31
1476,367317.25
1477,258696.36
1478,300907.0
1479,188343.53
1480,484405.28
1481,299060.84
1482,202990.73
1483,179597.61
1484,165120.56
1485,156186.5
1486,180688.06
1487,343544.72
1488,236456.48
1489,220892.8
1490,203174.2
1491,183674.81
1492,90282.9
1493,189418.42
1494,287174.7
1495,281033.12
1496,241505.88
1497,173062.19
1498,157540.67
1499,152420.14
1500,151381.45
1501,187974.14
1502,160131.3
1503,295082.2
1504,221172.83
1505,215991.52
1506,198047.89
1507,257746.7
1508,204118.53
1509,163723.0
1510,150041.81
1511,146619.0
1512,170910.12
1513,157149.0
1514,147867.86
1515,179600.61
1516,153830.28
1517,164519.38
1518,136416.14
1519,228273.86
1520,130968.586
1521,138956.55
1522,169302.77
1523,111203.55
1524,127254.47
1525,122797.76
1526,124478.586
1527,98472.086
1528,133914.36
1529,146281.11
1530,190024.06
1531,122807.19
1532,106951.61
1533,141343.16
1534,128376.945
1535,160111.75
1536,114329.79
1537,64118.633
1538,156144.77
1539,194682.31
1540,85971.914
1541,150301.67
1542,154418.16
1543,168154.23
1544,83772.63
1545,99299.38
1546,130416.67
1547,136478.89
1548,140765.17
1549,111637.99
1550,156879.14
1551,108379.87
1552,147783.02
1553,154472.28
1554,120707.336
1555,187595.38
1556,93639.89
1557,122060.81
1558,93303.81
1559,94432.836
1560,134172.17
1561,137949.23
1562,130151.234
1563,120736.02
1564,156937.94
1565,150618.77
1566,242691.56
1567,73878.06
1568,232282.02
1569,122192.45
1570,145910.78
1571,148596.73
1572,151667.45
1573,257448.83
1574,69904.49
1575,231714.95
1576,221115.58
1577,197453.64
1578,157561.94
1579,144329.5
1580,181784.88
1581,148168.02
1582,124879.46
1583,330803.75
1584,219460.22
1585,139127.12
1586,84450.03
1587,93342.0
1588,156537.12
1589,103180.96
1590,138426.16
1591,98746.68
1592,114831.41
1593,122047.76
1594,106620.64
1595,107063.445
1596,249125.84
1597,187591.72
1598,197215.7
1599,181276.72
1600,179939.88
1601,63614.66
1602,115133.71
1603,88675.0
1604,279145.25
1605,236088.69
1606,169949.88
1607,157045.4
1608,223163.28
1609,186631.3
1610,159204.95
1611,145794.28
1612,154315.38
1613,159889.6
1614,110905.91
1615,89998.33
1616,81725.98
1617,89533.59
1618,132981.92
1619,137065.22
1620,139440.48
1621,125120.4
1622,141744.7
1623,326957.88
1624,219702.8
1625,121558.54
1626,181282.19
1627,188941.12
1628,280683.97
1629,171813.22
1630,404245.97
1631,229437.6
1632,257991.25
1633,155969.73
1634,186504.25
1635,187016.23
1636,159083.97
1637,173075.27
1638,206227.78
1639,181258.75
1640,252784.08
1641,172230.45
1642,231701.47
1643,202514.31
1644,218579.36
1645,184807.61
1646,148928.28
1647,157932.52
1648,136185.31
1649,140319.1
1650,121207.625
1651,122521.984
1652,97876.414
1653,100754.336
1654,147107.14
1655,149012.1
1656,141911.47
1657,150787.08
1658,137039.23
1659,138441.08
1660,153262.36
1661,510472.22
1662,453533.0
1663,358805.9
1664,402067.2
1665,310371.1
1666,304496.66
1667,368163.2
1668,334689.97
1669,323546.44
1670,332693.88
1671,262154.2
1672,464316.38
1673,293004.53
1674,247148.62
1675,181675.6
1676,190443.69
1677,223273.0
1678,461200.47
1679,424540.38
1680,348350.56
1681,247337.73
1682,284302.94
1683,176999.2
1684,174534.95
1685,179715.97
1686,168066.11
1687,155288.31
1688,170711.36
1689,186057.61
1690,190389.27
1691,172054.53
1692,274936.66
1693,155725.1
1694,185271.4
1695,167473.45
1696,268589.1
1697,168919.52
1698,413248.53
1699,330502.12
1700,252092.58
1701,260081.34
1702,251263.66
1703,232125.06
1704,290603.97
1705,219080.56
1706,491398.3
1707,237348.08
1708,216242.8
1709,268293.34
1710,213633.47
1711,251631.97
1712,214003.0
1713,255341.45
1714,216575.4
1715,204072.06
1716,188675.95
1717,163937.73
1718,137306.0
1719,188706.33
1720,254114.55
1721,163705.39
1722,121757.95
1723,148905.23
1724,209236.14
1725,233973.81
1726,180002.36
1727,164917.53
1728,184866.67
1729,167539.98
1730,155223.98
1731,125720.03
1732,128484.2
1733,117793.03
1734,108803.14
1735,124693.65
1736,120137.53
1737,340206.22
1738,207599.03
1739,319977.53
1740,237789.44
1741,176184.08
1742,184103.47
1743,181072.62
1744,292938.62
1745,229666.61
1746,241795.52
1747,218763.06
1748,215231.67
1749,148684.27
1750,128230.945
1751,244231.94
1752,124160.59
1753,148560.94
1754,200442.69
1755,154747.34
1756,121706.26
1757,124133.26
1758,143339.62
1759,175076.66
1760,163842.23
1761,146123.69
1762,165433.03
1763,167571.97
1764,114039.73
1765,159274.97
1766,171972.28
1767,205547.0
1768,146699.56
1769,173697.3
1770,147515.48
1771,137194.17
1772,140137.11
1773,126676.65
1774,129020.74
1775,141122.39
1776,120748.26
1777,119714.586
1778,139922.08
1779,116418.36
1780,177171.66
1781,122321.43
1782,100692.71
1783,125693.6
1784,106156.586
1785,126039.12
1786,147275.38
1787,175993.84
1788,54923.9
1789,85993.17
1790,94536.516
1791,175106.4
1792,160520.58
1793,125992.59
1794,140101.83
1795,137535.17
1796,117541.695
1797,118591.805
1798,128948.73
1799,124768.55
1800,134971.22
1801,131029.32
1802,147745.36
1803,149763.12
1804,143880.25
1805,134634.81
1806,116615.39
1807,123426.68
1808,117507.875
1809,124433.09
1810,150241.73
1811,118713.266
1812,96653.49
1813,128006.27
1814,92003.734
1815,56640.266
1816,96787.016
1817,124193.78
1818,149304.25
1819,108134.055
1820,72875.484
1821,119620.27
1822,166402.81
1823,42763.816
1824,131574.67
1825,137233.06
1826,102195.555
1827,95957.73
1828,144996.22
1829,113320.11
1830,135956.53
1831,158226.45
1832,95339.34
1833,131360.52
1834,104884.45
1835,126111.55
1836,128642.336
1837,97543.32
1838,140977.16
1839,90184.234
1840,175258.39
1841,160828.1
1842,84264.984
1843,132824.28
1844,136131.2
1845,137489.78
1846,131300.17
1847,149978.25
1848,64100.09
1849,124536.8
1850,122183.805
1851,167583.6
1852,142900.86
1853,123302.67
1854,166968.2
1855,143491.56
1856,233120.47
1857,158529.11
1858,142927.14
1859,115416.266
1860,158134.83
1861,115307.73
1862,227767.27
1863,222114.19
1864,222114.19
1865,335477.1
1866,338186.38
1867,245173.12
1868,320728.06
1869,203322.8
1870,259544.55
1871,255764.94
1872,164552.98
1873,224823.9
1874,145913.61
1875,219141.17
1876,199858.2
1877,187875.33
1878,203377.73
1879,127624.83
1880,131767.39
1881,235932.02
1882,246539.28
1883,199062.9
1884,213427.17
1885,269775.5
1886,299469.34
1887,194025.27
1888,271090.7
1889,158846.08
1890,135039.89
1891,143327.23
1892,99745.44
1893,136318.08
1894,126221.26
1895,143402.36
1896,131496.17
1897,122650.85
1898,121225.47
1899,147900.77
1900,161288.47
1901,198937.14
1902,119795.055
1903,236872.84
1904,153680.5
1905,204604.9
1906,172142.22
1907,234740.53
1908,120970.086
1909,128658.09
1910,121826.2
1911,224718.5
1912,252486.25
1913,150583.5
1914,58871.79
1915,305289.4
1916,78960.46
1917,253809.06
1918,143855.12
1919,160278.06
1920,137024.8
1921,446453.0
1922,318094.5
1923,199286.42
1924,202365.05
1925,208207.47
1926,401467.12
1927,131712.05
1928,166963.84
1929,135460.16
1930,140595.98
1931,141433.77
1932,129426.414
1933,169724.95
1934,179887.16
1935,180485.47
1936,181053.4
1937,189778.9
1938,164031.38
1939,265390.97
1940,189599.08
