PassengerId,Survived
892,0.44710913
893,0.9481371
894,0.42593795
895,0.38040388
896,0.9356609
897,0.85639375
898,0.9622007
899,0.32622632
900,0.971194
901,0.263947
902,0.37215576
903,0.35868248
904,0.99837875
905,0.28269184
906,0.99999464
907,0.99262285
908,0.52433556
909,0.46774462
910,0.9412991
911,0.93668586
912,0.3292458
913,0.92353827
914,0.9958729
915,0.8294162
916,0.99769515
917,0.28695902
918,0.99835134
919,0.4429874
920,0.42344958
921,0.26341638
922,0.29647508
923,0.26194495
924,0.92609406
925,0.92629296
926,0.54684424
927,0.50984216
928,0.9064684
929,0.9373116
930,0.38728362
931,0.36970988
932,0.3731942
933,0.8810793
934,0.34954357
935,0.97930306
936,0.999046
937,0.3877366
938,0.48641
939,0.4527457
940,0.99875605
941,0.8842674
942,0.4971021
943,0.48943555
944,0.9883394
945,0.98547065
946,0.4344928
947,0.7066295
948,0.35843238
949,0.9919801
950,0.3086917
951,0.9981627
952,0.43524268
953,0.37969398
954,0.42291406
955,0.967476
956,0.96206164
957,0.97850513
958,0.9728353
959,0.35900882
960,0.873633
961,0.97803795
962,0.964745
963,0.40509012
964,0.91057503
965,0.9437182
966,0.98804396
967,0.5475543
968,0.37213168
969,0.98981106
970,0.38683948
971,0.964745
972,0.92711514
973,0.3251516
974,0.355542
975,0.37215576
976,0.61215264
977,0.31797114
978,0.96349204
979,0.94548154
980,0.96219605
981,0.9552945
982,0.93897426
983,0.37217468
984,0.99778914
985,0.37213168
986,0.78813916
987,0.38777378
988,0.9882786
989,0.37494642
990,0.940317
991,0.36387965
992,0.9921178
993,0.31739685
994,0.4527457
995,0.38399693
996,0.974856
997,0.37543643
998,0.58477175
999,0.4527457
1000,0.37202814
1001,0.9988707
1002,0.3756538
1003,0.9621957
1004,0.99792564
1005,0.97222507
1006,0.98843306
1007,0.34870663
1008,0.39232513
1009,0.9559551
1010,0.7139344
1011,0.98538774
1012,0.9935208
1013,0.39633238
1014,0.99264
1015,0.3778354
1016,0.4527457
1017,0.9442153
1018,0.39983955
1019,0.9889892
1020,0.35701466
1021,0.3914786
1022,0.36662856
1023,0.5107458
1024,0.88640267
1025,0.31913832
1026,0.34720922
1027,0.39153522
1028,0.4087507
1029,0.40512535
1030,0.93155646
1031,0.34280318
1032,0.98877394
1033,0.9950826
1034,0.8256797
1035,0.39013392
1036,0.36610538
1037,0.21132708
1038,0.99991333
1039,0.39971706
1040,0.43388525
1041,0.32042903
1042,0.9913565
1043,0.39190385
1044,0.33052036
1045,0.8835666
1046,0.35667965
1047,0.3916232
1048,0.9839305
1049,0.93161625
1050,0.87008
1051,0.9144789
1052,0.9621963
1053,0.92141557
1054,0.98284745
1055,0.37229577
1056,0.35863465
1057,0.93456537
1058,0.44701546
1059,0.2814373
1060,0.9979139
1061,0.934315
1062,0.37220982
1063,0.40599328
1064,0.32059526
1065,0.39209643
1066,0.33458704
1067,0.987479
1068,0.9862927
1069,0.38689497
1070,0.9998851
1071,0.99998736
1072,0.38683948
1073,0.99991155
1074,0.9992169
1075,0.4527457
1076,0.99881893
1077,0.3602095
1078,0.98604
1079,0.26548347
1080,0.60339594
1081,0.36041224
1082,0.31332445
1083,0.4351121
1084,0.8508184
1085,0.4274849
1086,0.9576359
1087,0.36391
1088,0.99998355
1089,0.9455494
1090,0.43688247
1091,0.906443
1092,0.96210766
1093,0.9667418
1094,0.36019892
1095,0.99431926
1096,0.4127346
1097,0.6505954
1098,0.9599439
1099,0.41952783
1100,0.9983846
1101,0.387745
1102,0.3645145
1103,0.372288
1104,0.44774875
1105,0.98691666
1106,0.8649494
1107,0.432858
1108,0.9621946
1109,0.31873408
1110,0.99050915
1111,0.37213168
1112,0.9897317
1113,0.4050155
1114,0.9999683
1115,0.4051385
1116,0.9957177
1117,0.9444274
1118,0.39520907
1119,0.96219605
1120,0.3510643
1121,0.36986214
1122,0.8628298
1123,0.99781114
1124,0.32687098
1125,0.45274052
1126,0.40609032
1127,0.41043133
1128,0.94923276
1129,0.48434582
1130,0.9908811
1131,0.99215615
1132,0.99585176
1133,0.9703302
1134,0.9997429
1135,0.37215707
1136,0.89144844
1137,0.93010855
1138,0.9854909
1139,0.3123155
1140,0.98538774
1141,0.95764214
1142,0.99617684
1143,0.41039693
1144,0.43713337
1145,0.39111012
1146,0.36502817
1147,0.37220982
1148,0.4527457
1149,0.37770963
1150,0.98858505
1151,0.40514854
1152,0.30175123
1153,0.40511024
1154,0.9778817
1155,0.9817592
1156,0.44037175
1157,0.37215576
1158,0.49850923
1159,0.37220982
1160,0.9064684
1161,0.43401814
1162,0.53301436
